name,kanji,frame,stroke,lesson,studied
one,一,1,1,1,1
two,二,2,2,1,1
three,三,3,3,1,1
four,四,4,5,1,1
five,五,5,4,1,1
six,六,6,4,1,1
seven,七,7,2,1,1
eight,八,8,2,1,1
nine,九,9,2,1,1
ten,十,10,2,1,1
mouth,口,11,3,1,1
day,日,12,4,1,1
month,月,13,4,1,1
rice field,田,14,5,1,1
eye,目,15,5,1,1
old,古,16,5,2,1
I,吾,17,7,2,1
risk,冒,18,9,2,1
companion,朋,19,8,2,1
bright,明,20,8,2,1
chant,唱,21,11,2,1
sparkle,晶,22,12,2,1
goods,品,23,9,2,1
spine,呂,24,7,2,1
prosperous,昌,25,8,2,1
early,早,26,6,2,1
rising sun,旭,27,6,2,1
generation,世,28,5,2,1
stomach,胃,29,9,2,1
nightbreak,旦,30,5,2,1
gall bladder,胆,31,9,2,1
span,亘,32,6,2,1
concave,凹,33,5,2,1
convex,凸,34,5,2,1
olden times,旧,35,5,3,1
oneself,自,36,6,3,1
white,白,37,5,3,1
hundred,百,38,6,3,1
in,中,39,4,3,1
thousand,千,40,3,3,1
tongue,舌,41,6,3,1
measuring box,升,42,4,3,1
rise up,昇,43,8,3,1
round,丸,44,3,3,1
measurement,寸,45,3,3,1
elbow,肘,46,7,3,1
specialty,専,47,9,3,1
Dr.,博,48,12,3,1
fortune-telling,占,49,5,3,1
above,上,50,3,3,1
below,下,51,3,3,1
eminent,卓,52,8,3,1
morning,朝,53,12,3,1
derision,嘲,54,15,3,1
only,只,55,5,4,1
shellfish,貝,56,7,4,1
pop song,唄,57,10,4,1
upright,貞,58,9,4,1
employee,員,59,10,4,1
affix,貼,60,12,4,1
see,見,61,7,4,1
newborn babe,児,62,7,4,1
beginning,元,63,4,4,1
page,頁,64,9,4,1
stubborn,頑,65,13,4,1
mediocre,凡,66,3,4,1
defeat,負,67,9,4,1
ten thousand,万,68,3,4,1
phrase,句,69,5,4,1
texture,肌,70,6,4,1
decameron,旬,71,6,4,1
ladle,勺,72,3,4,1
bull's eye,的,73,8,4,1
neck,首,74,9,4,1
fish guts,乙,75,1,5,1
riot,乱,76,7,5,1
straightaway,直,77,8,5,1
tool,具,78,8,5,1
true,真,79,10,5,1
craft,工,80,3,5,1
left,左,81,5,5,1
right,右,82,5,5,1
possess,有,83,6,5,1
bribe,賄,84,13,5,1
tribute,貢,85,10,5,1
paragraph,項,86,12,5,1
sword,刀,87,2,5,1
blade,刃,88,3,5,1
cut,切,89,4,5,1
seduce,召,90,5,5,1
shining,昭,91,9,5,1
rule,則,92,9,5,1
vice-,副,93,11,5,1
separate,別,94,7,5,1
street,丁,95,2,5,1
village,町,96,7,5,1
can,可,97,5,5,1
place on the head,頂,98,11,5,1
child,子,99,3,6,1
cavity,孔,100,4,6,1
complete,了,101,2,6,1
woman,女,102,3,6,1
fond,好,103,6,6,1
likeness,如,104,6,6,1
mama,母,105,5,6,1
pierce,貫,106,11,6,1
elder brother,兄,107,5,6,1
curse,呪,108,8,6,0
overcome,克,109,7,6,0
little,小,110,3,7,1
few,少,111,4,7,1
large,大,112,3,7,1
many,多,113,6,7,1
evening,夕,114,3,7,1
eventide,汐,115,6,7,1
outside,外,116,5,7,1
name,名,117,6,7,1
stone,石,118,5,7,1
resemblance,肖,119,7,7,1
nitrate,硝,120,12,7,0
smash,砕,121,9,7,0
sand,砂,122,9,7,0
jealous,妬,123,8,7,0
plane,削,124,9,7,0
ray,光,125,6,7,0
plump,太,126,4,7,0
utensil,器,127,15,7,0
stinking,臭,128,9,7,0
sniff,嗅,129,13,7,0
exquisite,妙,130,7,7,0
focus,省,131,9,7,0
thick,厚,132,9,7,0
strange,奇,133,8,7,0
stream,川,134,3,8,0
state,州,135,6,8,0
obey,順,136,12,8,0
water,水,137,4,8,0
icicle,氷,138,5,8,0
eternity,永,139,5,8,0
spring,泉,140,9,8,0
gland,腺,141,13,8,0
meadow,原,142,10,8,0
petition,願,143,19,8,0
swim,泳,144,8,8,0
marsh,沼,145,8,8,0
open sea,沖,146,7,8,0
pan-,汎,147,6,8,0
creek,江,148,6,8,0
cleanse,汰,149,7,8,0
soup,汁,150,5,8,0
grains of sand,沙,151,7,8,0
tide,潮,152,15,8,0
source,源,153,13,8,0
lively,活,154,9,8,0
extinguish,消,155,10,8,0
but of course,況,156,8,8,0
river,河,157,8,8,0
overnight,泊,158,8,8,0
lake,湖,159,12,8,0
fathom,測,160,12,8,0
soil,土,161,3,8,0
spit,吐,162,6,8,0
pressure,圧,163,5,8,0
cape,埼,164,11,8,0
hedge,垣,165,9,8,0
stuff up,填,166,13,8,0
squared jewel,圭,167,6,8,0
seal,封,168,9,8,0
horizon,涯,169,11,8,0
Buddhist temple,寺,170,6,8,0
time,時,171,10,8,0
level,均,172,7,8,0
fire,火,173,4,8,0
inflammation,炎,174,8,8,0
anxiety,煩,175,13,8,0
thin,淡,176,11,8,0
lamp,灯,177,6,8,0
farm,畑,178,9,8,0
disaster,災,179,7,8,0
ashes,灰,180,6,8,0
spot,点,181,9,8,0
illuminate,照,182,13,8,0
fish,魚,183,11,8,0
fishing,漁,184,14,8,0
ri,里,185,7,9,0
black,黒,186,11,9,0
black ink,墨,187,14,9,0
carp,鯉,188,18,9,0
quantity,量,189,12,9,0
rin,厘,190,9,9,0
bury,埋,191,10,9,0
same,同,192,6,9,0
den,洞,193,9,9,0
trunk,胴,194,10,9,0
yonder,向,195,6,9,0
esteem,尚,196,8,9,0
character,字,197,6,9,0
guard,守,198,6,9,0
perfect,完,199,7,9,0
proclaim,宣,200,9,9,0
wee hours,宵,201,10,9,0
relax,安,202,6,9,0
banquet,宴,203,10,9,0
draw near,寄,204,11,9,0
wealth,富,205,12,9,0
savings,貯,206,12,9,0
tree,木,207,4,10,0
grove,林,208,8,10,0
forest,森,209,12,10,0
Japanese Judas-tree,桂,210,10,10,0
oak,柏,211,9,10,0
frame,枠,212,8,10,0
treetops,梢,213,11,10,0
shelf,棚,214,12,10,0
apricot,杏,215,7,10,0
paulownia,桐,216,10,10,0
plant,植,217,12,10,0
chair,椅,218,12,10,0
wither,枯,219,9,10,0
crude,朴,220,6,10,0
town,村,221,7,10,0
inter-,相,222,9,10,0
desk,机,223,6,10,0
book,本,224,5,10,0
tag,札,225,5,10,0
calendar,暦,226,14,10,0
plan,案,227,10,10,0
parch,燥,228,17,10,0
not yet,未,229,5,10,0
extremity,末,230,5,10,0
obscure,昧,231,9,10,0
splash,沫,232,8,10,0
flavor,味,233,8,10,0
younger sister,妹,234,8,10,0
vermilion,朱,235,6,10,0
stocks,株,236,10,10,0
young,若,237,8,10,0
grass,草,238,9,10,0
suffering,苦,239,8,10,0
bullying,苛,240,8,10,0
tolerant,寛,241,13,10,0
